,id,first_name,height_feet,height_inches,last_name,position,weight_pounds,abbreviation,city,conference,division,full_name,name
1713,2169,Sheldon,,,Mac,,,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
1714,2198,Brandon,,,Paul,,,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
1715,2199,Dakari,,,Johnson,,,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1716,2200,Mike,,,Young,,,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1717,2201,Gian,,,Clavell,,,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
1718,2196,Mike,,,James,,,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
1719,24102396,Trevon,,,Scott,F,,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
1720,2203,Mangok,,,Mathiang,,,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1721,2204,Marcus,,,Paige,,,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1722,2206,Matt,,,Costello,,,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
1723,2207,Jacob,,,Wiley,,,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
1724,2209,Vincent,,,Hunter,,,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1725,2210,Jamil,,,Wilson,,,LAC,LA,West,Pacific,LA Clippers,Clippers
1726,2212,Jacob,,,Pullen,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1727,2214,Yakuba,,,Ouattara,,,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
1728,2217,Jamel,,,Artis,,,ORL,Orlando,East,Southeast,Orlando Magic,Magic
1729,2218,Kyle,,,Collinsworth,,,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
1730,2220,Reggie,,,Hearn,,,DET,Detroit,East,Central,Detroit Pistons,Pistons
1731,2221,Nigel,,,Hayes,,,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1732,2224,James,,,Webb III,,,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
1733,2227,Andrew,,,White III,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1734,2228,Trey,,,McKinney-Jones,,,IND,Indiana,East,Central,Indiana Pacers,Pacers
1735,2230,Xavier,,,Rathan-Mayes,,,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1736,2231,Rodney,,,Purvis,,,ORL,Orlando,East,Southeast,Orlando Magic,Magic
1737,2232,Jameel,,,Warney,,,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
1738,2233,Omari,,,Johnson,,,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1739,2234,Andre,,,Ingram,,,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1740,2235,Aaron,,,Jackson,,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1741,2236,Brian,,,Taylor,,,LAC,LA,West,Pacific,LA Clippers,Clippers
1742,2237,Freeman,,,Williams,,,LAC,LA,West,Pacific,LA Clippers,Clippers
1743,2238,Jerome,,,Whitehead,,,LAC,LA,West,Pacific,LA Clippers,Clippers
1744,2239,Joe,,,Bryant,,,LAC,LA,West,Pacific,LA Clippers,Clippers
1745,2240,Nick,,,Weatherspoon,,,LAC,LA,West,Pacific,LA Clippers,Clippers
1746,2241,Sidney,,,Wicks,,,LAC,LA,West,Pacific,LA Clippers,Clippers
1747,2242,Swen,,,Nater,,,LAC,LA,West,Pacific,LA Clippers,Clippers
1748,2243,World,,,Free,,,LAC,LA,West,Pacific,LA Clippers,Clippers
1749,2244,Don,,,Ford,,,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1750,2245,Jamaal,,,Wilkes,,,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1751,2246,Jim,,,Chones,,,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1752,2247,Kareem,,,Abdul-Jabbar,,,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1753,2248,Michael,,,Cooper,,,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1754,2249,Norm,,,Nixon,,,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1755,2250,Ron,,,Boone,,,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1756,2251,Spencer,,,Haywood,,,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1757,2252,Cedric,,,Maxwell,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1758,2253,Chris,,,Ford,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1759,2254,Dave,,,Cowens,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1760,2255,Don,,,Chaney,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1761,2256,Eric,,,Fernsten,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1762,2257,Jeff,,,Judkins,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1763,2258,M.L.,,,Carr,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1764,2259,Nate,,,Archibald,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1765,2260,Rick,,,Robey,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1766,2261,Calvin,,,Murphy,,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1767,2262,Dwight,,,Jones,,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1768,2263,Major,,,Jones,,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1769,2264,Mike,,,Dunleavy,,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1770,2265,Rick,,,Barry,,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1771,2266,Rudy,,,Tomjanovich,,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1772,2267,Rudy,,,White,,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1773,2268,Tom,,,Henderson,,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1774,2269,Bob,,,Dandridge,,,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1775,2270,Elvin,,,Hayes,,,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1776,2271,Greg,,,Ballard,,,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1777,2272,Kevin,,,Grevey,,,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1778,2273,Kevin,,,Porter,,,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1779,2274,Larry,,,Wright,,,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1780,2275,Roger,,,Phegley,,,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1781,2276,Wes,,,Unseld,,,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1782,2277,Bobby,,,Jones,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1783,2278,Caldwell,,,Jones,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1784,2279,Darryl,,,Dawkins,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1785,2280,Doug,,,Collins,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1786,2281,Eric,,,Money,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1787,2282,Henry,,,Bibby,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1788,2283,Julius,,,Erving,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1789,2284,Steve,,,Mix,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1790,2285,Armond,,,Hill,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1791,2286,Charlie,,,Criss,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1792,2287,Dan,,,Roundfield,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1793,2288,Eddie,,,Johnson,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1794,2289,Jack,,,Givens,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1795,2290,John,,,Drew,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1796,2291,Ron,,,Lee,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1797,2292,Steve,,,Hawes,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1798,2293,Terry,,,Furlow,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1799,2294,Tom,,,McMillen,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1800,2295,Geoff,,,Huston,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1801,2296,Hollis,,,Copeland,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1802,2297,Jim,,,Cleamons,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1803,2298,Joe,,,Meriweather,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1804,2299,Larry,,,Demic,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1805,2300,Micheal,,,Ray Richardson,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1806,2301,Mike,,,Glenn,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1807,2302,Ray,,,Williams,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1808,2303,Sly,,,Williams,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1809,2304,Toby,,,Knight,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1810,2305,Abdul,,,Jeelani,,,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
1811,2306,Jim,,,Brewer,,,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
1812,2307,Jim,,,Paxson,,,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
1813,2308,Kermit,,,Washington,,,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
1814,2309,Kevin,,,Kunnert,,,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
1815,2310,Larry,,,Steele,,,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
1816,2311,Lionel,,,Hollins,,,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
1817,2312,Ron,,,Brewer,,,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
